,fecha,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
0,2023-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,11.0,7.0,5.0,12.0,3.0,4.0,5.0,10.0,8.0,4.0,9.0,18.0,6.0,0.0,113.0
1,2023-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,9.0,12.0,14.0,10.0,6.0,4.0,8.0,9.0,6.0,10.0,11.0,5.0,0.0,125.0
2,2023-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,6.0,7.0,12.0,6.0,4.0,6.0,3.0,10.0,16.0,5.0,17.0,19.0,3.0,2.0,138.0
3,2023-01-06,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,8.0,11.0,10.0,15.0,12.0,10.0,16.0,9.0,18.0,17.0,18.0,10.0,8.0,192.0
4,2023-01-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,12.0,6.0,18.0,10.0,5.0,4.0,7.0,12.0,7.0,17.0,21.0,10.0,6.0,153.0
5,2023-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,12.0,10.0,13.0,12.0,1.0,60.0
6,2023-01-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,8.0,10.0,7.0,3.0,6.0,8.0,13.0,6.0,4.0,10.0,11.0,9.0,4.0,2.0,116.0
7,2023-01-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,9.0,18.0,12.0,10.0,8.0,7.0,11.0,8.0,1.0,8.0,17.0,10.0,2.0,135.0
8,2023-01-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,1.0,5.0,4.0,8.0,7.0,8.0,10.0,13.0,7.0,13.0,12.0,3.0,0.0,106.0
9,2023-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,10.0,8.0,9.0,6.0,8.0,8.0,8.0,14.0,11.0,10.0,14.0,13.0,8.0,0.0,136.0
10,2023-01-13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,12.0,3.0,18.0,15.0,15.0,3.0,6.0,16.0,20.0,7.0,10.0,28.0,10.0,10.0,198.0
11,2023-01-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,7.0,13.0,14.0,20.0,14.0,83.0
12,2023-01-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9.0,18.0,12.0,8.0,0.0,61.0
13,2023-01-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,11.0,7.0,7.0,12.0,6.0,11.0,10.0,8.0,11.0,16.0,13.0,8.0,0.0,138.0
14,2023-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,8.0,10.0,8.0,9.0,14.0,9.0,7.0,8.0,11.0,11.0,7.0,12.0,0.0,133.0
15,2023-01-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,9.0,15.0,11.0,9.0,8.0,3.0,11.0,12.0,11.0,8.0,15.0,3.0,0.0,136.0
16,2023-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,7.0,10.0,3.0,2.0,9.0,2.0,3.0,10.0,9.0,5.0,15.0,9.0,2.0,105.0
17,2023-01-20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,14.0,12.0,5.0,5.0,1.0,2.0,7.0,10.0,12.0,10.0,4.0,6.0,105.0
18,2023-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,11.0,6.0,9.0,10.0,10.0,8.0,6.0,9.0,18.0,17.0,6.0,124.0
19,2023-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,16.0,11.0,12.0,0.0,52.0
20,2023-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,11.0,10.0,4.0,9.0,4.0,9.0,9.0,3.0,8.0,9.0,4.0,4.0,104.0
21,2023-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,9.0,8.0,9.0,2.0,8.0,9.0,9.0,5.0,11.0,10.0,10.0,9.0,0.0,110.0
22,2023-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,7.0,19.0,6.0,6.0,4.0,9.0,5.0,3.0,13.0,16.0,3.0,0.0,108.0
23,2023-01-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,6.0,10.0,13.0,10.0,7.0,8.0,3.0,14.0,10.0,15.0,18.0,11.0,0.0,148.0
24,2023-01-27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,4.0,2.0,6.0,6.0,1.0,4.0,17.0,7.0,8.0,17.0,9.0,13.0,12.0,124.0
25,2023-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,3.0,10.0,12.0,8.0,11.0,4.0,6.0,8.0,14.0,16.0,21.0,11.0,8.0,145.0
26,2023-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,10.0,16.0,10.0,1.0,60.0
27,2023-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,8.0,11.0,14.0,10.0,6.0,10.0,19.0,10.0,13.0,14.0,8.0,6.0,0.0,145.0
28,2023-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,9.0,5.0,9.0,10.0,12.0,11.0,13.0,11.0,8.0,11.0,9.0,19.0,1.0,144.0
29,2023-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,10.0,13.0,8.0,5.0,10.0,13.0,10.0,10.0,20.0,11.0,6.0,0.0,134.0
30,2023-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,7.0,5.0,15.0,13.0,3.0,0.0,8.0,12.0,16.0,17.0,15.0,17.0,9.0,156.0
31,2023-02-03,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,5.0,9.0,7.0,5.0,6.0,4.0,0.0,41.0,14.0,18.0,14.0,16.0,11.0,180.0
32,2023-02-04,10,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,11.0,5.0,2.0,6.0,18.0,9.0,11.0,12.0,11.0,10.0,10.0,2.0,143.0
33,2023-02-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,18.0,10.0,16.0,14.0,2.0,79.0
34,2023-02-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,12.0,11.0,8.0,9.0,5.0,6.0,12.0,13.0,10.0,18.0,9.0,11.0,0.0,143.0
35,2023-02-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,11.0,16.0,8.0,2.0,9.0,8.0,14.0,12.0,17.0,15.0,9.0,0.0,146.0
36,2023-02-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,9.0,7.0,6.0,8.0,6.0,10.0,9.0,14.0,9.0,18.0,15.0,7.0,0.0,142.0
37,2023-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,6.0,11.0,9.0,10.0,13.0,5.0,9.0,15.0,16.0,15.0,18.0,9.0,5.0,0.0,156.0
38,2023-02-10,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,12.0,7.0,13.0,9.0,15.0,10.0,3.0,14.0,16.0,26.0,19.0,37.0,18.0,10.0,233.0
39,2023-02-11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,12.0,10.0,5.0,7.0,9.0,8.0,10.0,6.0,7.0,10.0,20.0,13.0,14.0,149.0
40,2023-02-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,16.0,17.0,18.0,18.0,4.0,91.0
41,2023-02-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,6.0,7.0,7.0,9.0,9.0,5.0,11.0,13.0,8.0,11.0,17.0,7.0,9.0,0.0,137.0
42,2023-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,10.0,9.0,12.0,11.0,17.0,13.0,7.0,16.0,15.0,21.0,16.0,18.0,12.0,5.0,194.0
43,2023-02-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,7.0,9.0,6.0,7.0,11.0,1.0,5.0,11.0,9.0,11.0,14.0,9.0,18.0,0.0,130.0
44,2023-02-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,9.0,6.0,5.0,9.0,7.0,10.0,15.0,6.0,14.0,14.0,15.0,16.0,8.0,0.0,146.0
45,2023-02-17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,5.0,5.0,13.0,10.0,10.0,5.0,9.0,17.0,15.0,15.0,13.0,19.0,2.0,152.0
46,2023-02-18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,3.0,5.0,9.0,8.0,10.0,8.0,9.0,13.0,14.0,11.0,16.0,17.0,150.0
47,2023-02-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,14.0,13.0,28.0,10.0,1.0,82.0
48,2023-02-20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,12.0,7.0,2.0,6.0,7.0,5.0,9.0,9.0,16.0,7.0,6.0,111.0
49,2023-02-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,12.0,4.0,4.0,1.0,4.0,5.0,5.0,10.0,11.0,15.0,0.0,0.0,84.0
50,2023-02-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,8.0,11.0,13.0,7.0,8.0,11.0,11.0,11.0,10.0,13.0,15.0,6.0,0.0,147.0
51,2023-02-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,10.0,7.0,5.0,9.0,9.0,8.0,9.0,10.0,12.0,12.0,16.0,8.0,0.0,130.0
52,2023-02-24,3,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,9.0,12.0,6.0,15.0,10.0,8.0,21.0,7.0,15.0,14.0,22.0,24.0,9.0,11.0,202.0
53,2023-02-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,5.0,8.0,10.0,8.0,10.0,4.0,10.0,6.0,10.0,14.0,15.0,14.0,4.0,134.0
54,2023-02-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,15.0,11.0,23.0,14.0,3.0,84.0
55,2023-02-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,8.0,6.0,14.0,11.0,6.0,5.0,8.0,13.0,14.0,19.0,14.0,5.0,0.0,134.0
56,2023-02-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,6.0,5.0,10.0,13.0,9.0,6.0,9.0,13.0,13.0,13.0,12.0,10.0,5.0,0.0,145.0
57,2023-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,8.0,12.0,8.0,6.0,11.0,6.0,12.0,9.0,10.0,9.0,21.0,11.0,2.0,0.0,136.0
58,2023-03-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,7.0,9.0,10.0,11.0,8.0,4.0,11.0,15.0,16.0,21.0,17.0,2.0,0.0,153.0
59,2023-03-03,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0,5.0,10.0,20.0,9.0,9.0,5.0,17.0,18.0,13.0,26.0,23.0,18.0,16.0,224.0
60,2023-03-04,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,4.0,8.0,5.0,4.0,11.0,6.0,5.0,14.0,17.0,19.0,15.0,7.0,128.0
61,2023-03-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,10.0,13.0,14.0,9.0,0.0,67.0
62,2023-03-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,9.0,3.0,15.0,13.0,6.0,9.0,14.0,12.0,14.0,14.0,16.0,9.0,5.0,0.0,152.0
63,2023-03-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,6.0,16.0,21.0,9.0,8.0,12.0,7.0,9.0,10.0,17.0,14.0,4.0,0.0,146.0
64,2023-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,5.0,7.0,10.0,10.0,6.0,9.0,11.0,9.0,17.0,21.0,17.0,6.0,0.0,146.0
65,2023-03-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,11.0,10.0,14.0,10.0,12.0,14.0,16.0,18.0,9.0,12.0,9.0,7.0,0.0,158.0
66,2023-03-10,15,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,15.0,12.0,17.0,9.0,9.0,16.0,20.0,12.0,16.0,18.0,26.0,14.0,18.0,243.0
67,2023-03-11,14,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,14.0,10.0,3.0,3.0,4.0,10.0,17.0,16.0,30.0,25.0,14.0,8.0,198.0
68,2023-03-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,14.0,12.0,15.0,10.0,2.0,67.0
69,2023-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,14.0,14.0,20.0,9.0,7.0,5.0,18.0,13.0,9.0,19.0,8.0,1.0,0.0,150.0
70,2023-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,7.0,11.0,15.0,11.0,8.0,5.0,11.0,8.0,18.0,17.0,14.0,9.0,0.0,150.0
71,2023-03-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,6.0,13.0,21.0,5.0,9.0,12.0,18.0,8.0,8.0,22.0,11.0,8.0,0.0,155.0
72,2023-03-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,7.0,15.0,12.0,4.0,12.0,3.0,10.0,14.0,8.0,13.0,12.0,7.0,0.0,134.0
73,2023-03-17,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,13.0,10.0,12.0,13.0,8.0,14.0,13.0,22.0,30.0,21.0,6.0,197.0
74,2023-03-18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,10.0,11.0,3.0,8.0,4.0,3.0,12.0,11.0,11.0,21.0,13.0,17.0,7.0,144.0
75,2023-03-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,8.0,15.0,13.0,4.0,0.0,58.0
76,2023-03-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,6.0,8.0,7.0,11.0,13.0,10.0,12.0,13.0,14.0,12.0,17.0,11.0,3.0,0.0,150.0
77,2023-03-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,8.0,7.0,12.0,3.0,4.0,5.0,6.0,7.0,4.0,2.0,3.0,2.0,0.0,73.0
78,2023-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,15.0,6.0,5.0,6.0,10.0,7.0,6.0,9.0,7.0,10.0,19.0,4.0,6.0,0.0,119.0
79,2023-03-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,16.0,10.0,11.0,6.0,6.0,8.0,6.0,13.0,13.0,20.0,5.0,2.0,0.0,132.0
80,2023-03-24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,10.0,10.0,7.0,4.0,10.0,7.0,12.0,5.0,18.0,7.0,4.0,0.0,114.0
81,2023-03-25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,5.0,6.0,9.0,3.0,11.0,12.0,14.0,18.0,9.0,20.0,24.0,9.0,10.0,176.0
82,2023-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,10.0,13.0,15.0,4.0,0.0,62.0
83,2023-03-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,9.0,6.0,12.0,12.0,5.0,9.0,7.0,10.0,10.0,6.0,6.0,9.0,3.0,0.0,115.0
84,2023-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,15.0,4.0,8.0,15.0,4.0,9.0,18.0,10.0,19.0,11.0,23.0,10.0,2.0,164.0
85,2023-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,7.0,13.0,9.0,7.0,9.0,4.0,10.0,11.0,6.0,8.0,13.0,9.0,0.0,123.0
86,2023-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,11.0,10.0,7.0,8.0,9.0,15.0,6.0,16.0,21.0,12.0,5.0,0.0,146.0
87,2023-03-31,4,6.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,9.0,10.0,14.0,6.0,6.0,18.0,17.0,10.0,12.0,17.0,26.0,6.0,4.0,185.0
88,2023-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0,6.0,10.0,7.0,5.0,3.0,3.0,14.0,12.0,18.0,23.0,14.0,11.0,145.0
